gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
AREG,other,0.169228196144104,-0.012067173607647419,0.3300727903842926
ARF3,other,0.22621922194957733,-0.3428688645362854,0.24364718794822693
ARFGAP2,resting_sparing_suppressor,0.13250434398651123,-0.6110621094703674,-0.42369869351387024
ARFGAP3,other,0.2513764202594757,-0.5202798247337341,-0.17577390372753143
ARFIP1,other,0.0993218645453453,-0.2521876394748688,0.2935137152671814
ARFIP2,other,0.08499059081077576,-0.3100700080394745,0.05089954286813736
ARG2,other,0.028990233317017555,-0.09641136229038239,-0.28646403551101685
ARHGAP1,other,0.16061191260814667,0.0964919701218605,-0.1362762749195099
ARHGAP10,inflammatory,0.11858411878347397,0.42859578132629395,0.11006080359220505
ARHGAP11A,other,0.04634591192007065,-0.431686133146286,-0.5203461647033691
ARHGAP11B,other,0.2518521249294281,-0.6220956444740295,-0.3831535577774048
ARHGAP15,inflammatory,0.143105149269104,0.17369037866592407,-0.09153760969638824
ARHGAP17,resting_sparing_suppressor,0.12291397899389267,-0.5287717580795288,-0.2896973192691803
ARHGAP21,other,0.2726841866970062,-0.14766249060630798,-0.22909967601299286
ARHGAP24,other,0.11378632485866547,-0.30661600828170776,-0.13150230050086975
ARHGAP26,damaging,0.40232789516448975,-0.663809061050415,-0.31638839840888977
ARHGAP30,damaging,0.4965803325176239,0.5542502403259277,0.5033290386199951
ARHGAP5,damaging,0.4058202803134918,-0.7360541820526123,-0.5874616503715515
ARHGAP9,other,0.1396220624446869,-0.282977432012558,-0.3427102267742157
ARHGDIA,other,0.2775813341140747,-0.25167927145957947,-0.09638302028179169
ARHGDIB,damaging,0.34475216269493103,-0.6008629202842712,-0.3112880289554596
ARHGEF12,other,0.0059659527614712715,-0.10107250511646271,-0.14104285836219788
ARHGEF19,other,0.009821824729442596,-0.3965613543987274,-0.24668987095355988
ARHGEF39,damaging,0.3581084907054901,0.5190442800521851,-0.4878832995891571
ARHGEF40,other,0.014089854434132576,-0.006750193424522877,-0.191789910197258
ARHGEF5,damaging,0.34537994861602783,-0.47338035702705383,0.1943758875131607
ARHGEF6,other,0.21099860966205597,-0.24248498678207397,0.14145630598068237
ARHGEF9,inflammatory,0.19302883744239807,0.3085525929927826,-0.47529932856559753
ARID3B,other,0.3025745749473572,-0.40467801690101624,-0.22125865519046783
ARIH2,inflammatory,0.270922988653183,0.3282807767391205,-0.09956477582454681
ARL13B,resting_sparing_suppressor,0.08597632497549057,-0.5563169121742249,0.1196955069899559
ARL15,resting_sparing_suppressor,0.16756859421730042,-0.5667479634284973,-0.3207820951938629
ARL2BP,resting_sparing_suppressor,0.08044424653053284,-0.6227619647979736,-0.05302783101797104
ARL4C,other,0.2745334208011627,-0.5263351202011108,-0.20309576392173767
ARL4D,inflammatory,0.31062808632850647,0.36822065711021423,-0.336070716381073
ARL5A,resting_sparing_suppressor,0.1368870735168457,-0.5409413576126099,-0.3696817457675934
ARL6IP1,other,0.2738563120365143,-0.26025155186653137,-0.4003731906414032
ARL6IP4,other,0.31182900071144104,-0.12257672846317291,-0.46414682269096375
ARL8A,resting_sparing_suppressor,0.18373562395572662,-0.620460033416748,-0.3168122172355652
ARL8B,resting_sparing_suppressor,0.10731393843889236,-0.5612329840660095,-0.2642509937286377
ARMC1,other,0.061477549374103546,0.07349105924367905,-0.3085559904575348
ARMC2,resting_sparing_suppressor,0.041477471590042114,-0.5218316912651062,-0.33454927802085876
ARMC6,other,0.2505675256252289,-0.2708621323108673,0.07056555151939392
ARMCX2,other,0.21629029512405396,0.021767141297459602,0.4629833400249481
ARMCX5,other,0.02322045899927616,-0.08236922323703766,-0.17002160847187042
ARMCX6,damaging,0.35203784704208374,0.40405118465423584,0.24204017221927643
ARMT1,other,0.23188000917434692,0.055554088205099106,-0.4815719723701477
ARNT,other,0.2878056764602661,-0.22064091265201569,-0.18354089558124542
ARNT2,damaging,0.4470241665840149,-0.444703608751297,-0.4048920273780823
ARPC5,resting_sparing_suppressor,0.20495004951953888,-0.6675545573234558,-0.24683357775211334
ARRB1,inflammatory,0.2681961953639984,0.17973878979682922,0.531252920627594
ARRDC3,damaging,0.38277751207351685,0.25726592540740967,-0.02066558226943016
ARSA,other,0.30536940693855286,-0.7089950442314148,-0.3850569725036621
ARSB,damaging,0.4481373727321625,0.27089738845825195,0.30946335196495056
ARV1,inflammatory,0.2913466989994049,0.4824655055999756,-0.38821688294410706
