gene,condition,EN_D1,EN_D4
ANXA9,Rest,5.1204118728637695,5.703842639923096
AOAH,Rest,6.984208583831787,4.9456305503845215
AOC3,Rest,7.547694683074951,5.537440776824951
AP1AR,Rest,7.9240803718566895,5.951836585998535
AP1B1,Rest,6.89060115814209,5.718470573425293
AP1G1,Rest,6.580999374389648,4.810598373413086
AP1G2,Rest,7.841470241546631,6.0478057861328125
AP1M1,Rest,6.638733863830566,5.166773796081543
AP1S1,Rest,6.1204071044921875,5.16133975982666
AP2A2,Rest,7.624862194061279,6.053426742553711
AP3M1,Rest,6.395303249359131,5.3227314949035645
AP3M2,Rest,6.26193904876709,5.688587665557861
AP3S2,Rest,7.057216167449951,5.294817924499512
AP4B1,Rest,7.000542163848877,5.090044021606445
AP4E1,Rest,7.099878787994385,5.083888053894043
AP4S1,Rest,5.7813944816589355,6.105228900909424
AP5Z1,Rest,3.866492748260498,5.5268073081970215
APBA2,Rest,7.90792989730835,4.996845722198486
APBB1,Rest,7.398285388946533,5.501224040985107
APBB3,Rest,4.937091827392578,5.193145275115967
APEH,Rest,5.82184362411499,5.722148418426514
APH1B,Rest,7.489506721496582,6.027525901794434
API5,Rest,7.404600620269775,5.380172252655029
APLP1,Rest,6.907561779022217,5.228095531463623
APLP2,Rest,6.168225288391113,5.488645553588867
APMAP,Rest,7.4939703941345215,5.559632778167725
APOA1,Rest,7.002741813659668,5.132823467254639
APOBEC3A,Rest,7.879453182220459,5.337148189544678
APOBEC3C,Rest,7.385797500610352,4.66035270690918
APOBEC3F,Rest,7.159905433654785,5.555026531219482
APOBEC3G,Rest,7.238335132598877,5.47784423828125
APOBEC3H,Rest,7.162680149078369,5.660463333129883
APOBR,Rest,7.006259441375732,5.6693572998046875
APOC1,Rest,6.901119709014893,5.368829727172852
APOC3,Rest,7.882805824279785,5.153162956237793
APOD,Rest,6.989650249481201,5.363554954528809
APOE,Rest,7.733851909637451,5.4585957527160645
APOL1,Rest,6.41107177734375,5.817563533782959
APOL2,Rest,7.8896894454956055,5.9261579513549805
APOL3,Rest,5.600605487823486,5.103066444396973
APOOL,Rest,7.012050628662109,5.401149749755859
APP,Rest,4.80969762802124,5.714488506317139
APPBP2,Rest,7.643627166748047,5.9961066246032715
APRT,Rest,4.572278022766113,5.85352087020874
APTX,Rest,7.575450420379639,5.223235607147217
AQP11,Rest,5.173859119415283,5.236706256866455
AR,Rest,7.490324974060059,5.296258449554443
ARC,Rest,6.998861789703369,5.5116143226623535
AREG,Rest,6.814030170440674,5.4758687019348145
ARF3,Rest,7.016339302062988,5.407601356506348
ARFGAP1,Rest,7.140779495239258,5.492242813110352
ARFGAP2,Rest,7.179594993591309,4.026700019836426
ARFGAP3,Rest,7.349666118621826,5.23594331741333
ARFGEF2,Rest,7.497498512268066,5.118799209594727
ARFIP1,Rest,7.581000328063965,4.621734619140625
ARFIP2,Rest,7.512665748596191,6.1969804763793945
ARHGAP1,Rest,7.5927958488464355,5.879925727844238
